Saving all output to "/home/user12/USER12Q1.csv". Enter "record" with no arguments to stop it.
'NAME','STATE','STARS'
'Even Stevens Sandwiches','AZ','4.5'
'The Perfect Scoop & Boba Tea','NV','3.5'
'Pita Pit','OH','4.0'
'Bear Arms Firearms','AZ','4.0'
'Charlotte Mecklenburg Library - Plaza Midwood','NC','3.5'
'Dreamcoat Flooring','AZ','1.5'
'Royal Caribbean Cafe','ON','4.0'
'Jakarta Cafe','WI','3.0'
'Zumba Dance Toronto','ON','2.5'
'CodaKid','AZ','5.0'
'KFC/Taco Bell','ON','2.5'
'Starbucks','NV','3.0'
'Notes N Quotes','IL','3.0'
'DarkStar Computing LLC','AZ','5.0'
'First Watch - Breakfast Brunch & Lunch','OH','4.0'
'Fresh Buffet','NV','2.5'
'Joyce Buick GMC','OH','4.0'
'Bergeron Engineering','AZ','5.0'
'Carl's Jr.','NV','3.0'
'CN Tower','ON','4.0'
'Vap O Rise','NV','4.0'
'The Melting Pot - Phoenix','AZ','3.5'
'Tower City Center','OH','2.5'
'Harp & Crown','ON','3.0'
'The Snooty Fox Tattoo Parlor','AZ','5.0'
'Huntridge Circle Park','NV','2.5'
'Executive Air Conditioning','NV','5.0'
'Lanterna Restaurant','NYK','5.0'
'Lee's Sandwiches','NV','3.5'
'Chinatown Foot Reflexology','NV','3.0'
'Hall Of Fame Collectables','AZ','3.5'
'Brio On Ray','AZ','2.5'
'Realty ONE Group','AZ','4.5'
'Moondogs Pub','PA','3.5'
'Dr. Alexander & Co.','NV','5.0'
'Babcock Plumbing llc','AZ','5.0'
'Pizza Hut','AZ','3.0'
'Go Organique','QC','2.0'
'Garden Inn Extended Stay Hotel','NC','1.0'
'Tapas Papa Frita','AZ','3.5'
'LCBO','ON','4.5'
'Hand In Hand Preschool and Early Development Center','NV','4.0'
'Black Canary Espresso Bar','ON','4.5'
'Hawker Bar','ON','3.5'
'Ellen's Place','ON','3.0'
'Lava Cafe and Hookah Lounge','AZ','4.5'
'Le Cozy CafΓ©','QC','4.0'
'Soderberg','EDH','4.0'
'Sande Wildlife Control','ON','5.0'
'Plumbing Kings','NV','5.0'
'Tindol Ford Subaru ROUSH','NC','2.5'
'Farmhouse Restaurant At Harvest Market','IL','3.5'
'Cristina Esthetics','ON','5.0'
'Perfect Teeth','AZ','3.5'
'Antique Sugar','AZ','5.0'
'Wicker Emporium','ON','3.0'
'Freshii','ON','3.5'
'Licks Cake Design','EDH','2.5'
'Swiss Chalet Rotisserie & Grill','ON','1.5'
'Arizona Physical Therapy Specialists','AZ','5.0'
'The Genius Truck','AZ','4.5'
'Organizing by Marshall','ON','5.0'
'Piece of the Past Inc','NV','3.5'
'Smashburger','NV','3.5'
'Coiffure Desjardins','QC','2.5'
'All N One Smoke Shop','AZ','5.0'
'Chandler Museum','AZ','4.0'
'Ichi Ramen House','NV','4.0'
'Don Miller Mazda','WI','4.0'
'Pizza Smart Heimservice','BW','3.0'
'Autobell Car Wash','NC','3.0'
'#1 Cochran Monroeville Collision Center','PA','2.5'
'Mamaluv','ON','1.0'
'Canadian Fingerprinting Services','ON','5.0'
'Southwest Bikes','NV','4.0'
'Sunscreens By Mark','AZ','4.5'
'Labad's','PA','4.5'
'Avista Senior Living North Mountain','AZ','4.0'
'Michael's Frozen Custard','WI','3.0'
'Discount Cleaners','AZ','3.5'
'New Wok Chinese Food','AZ','3.0'
'Waterstone Mortgage','AZ','4.0'
'Community Clinical Pharmacy','AZ','3.5'
'Hollywood Smokes And Vapes','NV','4.5'
'Pizza Hut','NV','2.0'
'Sushi Bar','ON','3.0'
'Nova Era Bakery','ON','3.0'
'Edgar Snyder & Associates','PA','3.5'
'Dior Beauty Boutique','NV','4.0'
'King's Barber Shop','IL','4.5'
'Absolute Beauty Company','AZ','5.0'
'Bixi','QC','4.0'
'The Underground Butcher','WI','4.5'
'Dankle Brunson & Lee','IL','3.5'
'Sally Beauty','ON','1.5'
'Aldi Supermarket','WI','3.5'
'Wendy's','PA','2.0'
'Horizon Eye Specialists & Lasik Center','AZ','3.0'
'Ben & Florentine','QC','2.5'
'Harb Mouchir S MD','NV','1.0'
'Leon's Furniture','QC','1.5'
'Freddy's Frozen Custard & Steakburgers','NC','3.5'
'Steel Shield Doors and More','AZ','4.5'
'Hand & Stone Massage and Facial Spa','ON','3.0'
'Fry's Marketplace Stores of Arizona','AZ','4.5'
'HellBilly Motorcycles LLC','AZ','4.5'
'Talon Club','NV','4.0'
'Longue Vue Club','PA','4.5'
'Giant Eagle Supermarket','OH','3.0'
'Advanced Medical Hair Institute','NV','5.0'
'NorthStar Dentistry for Adults','NC','5.0'
'Retina Associates of Cleveland','OH','5.0'
'The Beach House Bar & Grill','ON','4.5'
'Mar-Lou Shoes','OH','4.0'
'Fired Pie','AZ','4.0'
'Great Beginnings Christian Preschool & Childcare','AZ','5.0'
'B-Boss KTV','ON','3.0'
'Nicki Handel Photography','WI','5.0'
'Svelte Pro','AZ','5.0'
'Steven G Fox PHD','AZ','3.5'
'Las Vegas Collision Center','NV','5.0'
'Automatic Gate Systems','AZ','2.0'
'The UPS Store','OH','3.0'
'Abbott Trophies','NV','5.0'
'Sonoran Pain Management','AZ','3.0'
'Rose Nail & Spa','NV','3.5'
'Bruce D SchwartzDDS','AZ','5.0'
'Arthur Murray Dance Studio Scottsdale','AZ','3.5'
'Flare Bar','NV','4.0'
'Tim Hortons','ON','2.5'
'Wedding Cakes by Rosie','IL','5.0'
'Tiffany & Co.','AZ','4.0'
'Megan Daugherty At Sachi Salon and Spa','AZ','5.0'
'French Creek Family YMCA','OH','2.5'
'LV Floor Restoration','NV','5.0'
'Allstate Appliances','AZ','2.5'
'Godspeed Brewery','ON','3.5'
'Safewire Electric','AZ','2.5'
'Movado Outlet Store','AZ','2.0'
'The Tradition Golf Club','NC','3.5'
'AMC Westwood Town Center 6','OH','4.5'
'Taverna Sultan Saray','BW','3.0'
'Fry's Food Stores of Arizona','AZ','3.0'
'Himalaya','QC','4.0'
'Scottsdale Pen and Knife','AZ','4.5'
'iPhone DOCTOR - Rainbow','NV','3.0'
'One Love Vapors','NV','4.0'
'Made in Argentina','NV','4.0'
'Canterbury Place','PA','2.5'
'Aromaz','ON','3.5'
'Turn Key Property Solutions','NV','1.5'
'3 Dudes Quilting','AZ','4.0'
'St Joseph's Health Centre','ON','3.0'
'Fly High Paragliding','AZ','3.0'
'Target Store','WI','3.5'
'Gorgeous Hair with Lainie','AZ','5.0'
'Results Only','AZ','5.0'
'Pizzaville','ON','4.0'
'Advanced Ankle & Foot','AZ','2.5'
'Glendale Powder Coating','AZ','4.0'
'Myers Park Baptist Church','NC','3.5'
'Loving Paws Pet Clinic','IL','5.0'
'Marche Kim Hour','QC','3.5'
'Purolator Courier','ON','2.0'
'Beta Supermarkt','BW','5.0'
'The Sanctuary Nails and Spa','AZ','3.5'
'Beauty in Vegas','NV','4.0'
'Ariat Roofing','NV','4.0'
'Pride Auto Glass LLC','AZ','5.0'
'Southern Nevada Museum of Fine Art','NV','5.0'
'Chatime North York','ON','3.5'
'Jaffe Chiropractic','NC','4.5'
'Richland Cafe','OH','4.0'
'Mattress Firm South End','NC','4.0'
'Old Carolina Barbecue Company','OH','3.5'
'Styles by Cardamone Salon & Day Spa','PA','5.0'
'Jimmy John's','NC','3.0'
'The Scarborough Hospital','ON','2.5'
'Sansotei','ON','4.0'
'Nails Boutique','WI','5.0'
'Lash Dolls LV','NV','5.0'
'MTC Tire Oakville','ON','3.0'
'Tuck Shop','AZ','4.5'
'DSW','ON','3.0'
'In-N-Out Burger','NV','4.0'
'Celebrity Tanning','AZ','4.0'
'Top Choice Electric','AZ','4.5'
'Hopscotch','ON','3.5'
'Perkins Restaurant & Bakery','OH','2.5'
'OrganizeSmith','AZ','5.0'
'6 Degrees Studio','ON','4.5'
'Junk King','ON','5.0'
'HireAWiz Web Design','AZ','5.0'
'Tomato','QC','3.0'
'Taquizas Kabronis','AZ','4.5'
'Sheraton Toronto Airport Hotel & Conference Centre','ON','3.0'
'Moe's Southwest Grill','NC','2.5'
'Caesar's Palace Sports Book','NV','3.5'
'Mint Indian Cuisine','AZ','3.5'
'Nubo Sushi','QC','3.0'
'Enterprise Rent-A-Car','OH','5.0'
'Tim Hortons','ON','3.0'
'Epi Breads','ON','4.0'
'Starbucks','ON','3.0'
'Zone 28','PA','3.0'
'Amaya Express','ON','2.0'
'Smashburger','NV','3.0'
'Verizon Authorized Retailer - GoWireless','NV','4.0'
'Red Rock Painting','AZ','5.0'
'Out-of-the-Box Marketing & Consulting','AZ','5.0'
'Diana Meat Groceries','ON','4.5'
'University Hospitals Parma Medical Center','OH','3.0'
'Jersey Mike's Subs','OH','4.0'
'Fitzmaurice Hand Institute','AZ','4.0'
'Carly's Bistro','AZ','4.0'
'Custom Color & Collision Center','OH','4.5'
'Barber Shoppe','AZ','5.0'
'Nothing But Noodles','NC','3.5'
'Noda Company Store','NC','4.5'
'Notre-Boeuf-de-GrΓΆce','QC','4.0'
'Findlay Toyota','NV','3.5'
'Panda Express','NV','3.0'
'The Rice Shop','NV','4.5'
'Yorkdale Shopping Centre','ON','3.5'
'Thrifty Car Rental','ON','1.0'
'ACN Painting','AZ','3.5'
'Flow Hair Studio','AZ','5.0'
'LunaHombre','NC','4.5'
'Delectable Hair Designs by Marcella','NV','5.0'
'Camp Bow Wow Pittsburgh North Hills','PA','4.5'
'York Medical','ON','2.5'
'Go For Thai','ON','3.0'
'Chef Flemming's BakeShop','NV','4.5'
'Edible Arrangements','AZ','2.5'
'Therapeutic Massage By Beth','PA','5.0'
'Ari Sushi','AZ','4.0'
'Macy's','NV','3.0'
'Mascot Brewery','ON','3.0'
'The Lock Shop','AZ','5.0'
'Tim Hortons','QC','2.5'
'Bubba Q','EDH','3.5'
'Natures Health Shoppe','AZ','5.0'
'Tobler Physical Therapy','AZ','4.0'
'Bonnie Speed Logistics','OH','5.0'
'Main Street Dental Team','ON','3.5'
'Salon Vivace','NC','5.0'
'Imagine Dental - Ahwatukee','AZ','4.0'
'Jessy S Sidhu DMD','NV','4.5'
'Pi Co','ON','4.0'
'Continental Hair','ON','2.5'
'Circle K','AZ','2.0'
'Over Easy','AZ','3.5'
'Climb Camelback','AZ','5.0'
'Hand & Stone Massage and Facial Spa','ON','4.5'
'Sommerhof','BW','4.0'
'Rocky Mountain Chocolate Factory','ON','2.5'
'Toddy Shop','NV','5.0'
'Bar Six40','AZ','2.5'
'Puddle Jumper Pool Service LLC','AZ','5.0'
'To Piato','BW','3.5'
'Staples','AZ','2.5'
'Habel-PΓ¶llmann','BW','4.0'
'Spinal Care of Nevada','NV','3.5'
'El Gran Taco','NV','3.5'
'Scott's Half-Price PLumbing','NV','4.0'
'Brideside','NC','5.0'
'BMW of Henderson','NV','3.5'
'Moghel Tandoori','QC','3.0'
'Serenity Spinal Care','NV','5.0'
'Lerner & Rowe Injury Attorneys','AZ','3.0'
'Motors & More','NV','5.0'
'The Vitamin Shoppe','NV','3.5'
'Hope House','AZ','2.0'
'Prompt Titles and Registrations','AZ','4.0'
'The Ivy','AZ','4.0'
'Angry Monkey MMA','QC','5.0'
'Dunkin' Donuts','PA','2.5'
'Thunderbird Custom Design','AZ','5.0'
'Tower 66','BW','3.5'
'IHOP','NV','3.5'
'Claire's','AZ','2.5'
'Camden San Marcos','AZ','2.0'
'Roux','ON','3.5'
'Bosa Donuts','AZ','4.5'
'The Little Clinic','AZ','4.0'
'Giant Eagle','OH','2.5'
'Autobell Car Wash','NC','2.5'
'Las Vegas Suites','NV','3.5'
'Modern Furniture Knockoff','ON','2.5'
'Piedmont Family Practice at Tega Cay','SC','3.0'
'Papa Murphy's','WI','2.5'
'Starbucks','AZ','3.5'
'The Barber Shop','ON','3.5'
'Tinkers Creek Road Tavern','OH','3.5'
'Mirch Masala','WI','4.0'
'Girlz Ink','NV','5.0'
'Kopper Popper','OH','5.0'
'Lunde's Peoria Volkswagen','AZ','4.5'
'Danny's Total Car Care','AZ','3.0'
'Shawarma Express','ON','3.5'
'First Choice Haircutters','ON','1.5'
'Foot Care Massage','AZ','4.0'
'Pittsburgh Eye Care Associates','PA','5.0'
'Hedi's: Alterations','OH','2.0'
'Maltz Museum of Jewish Heritage','OH','3.0'
'Dobson Bay Chiropractic','AZ','4.5'
'Pride Dental Group DDS','AZ','2.0'
'Tips and Toes by Anna','NV','4.5'
'Decatur & Craig Chiropractic','NV','5.0'
'The UPS Store','NC','3.0'
'Pho Asia 39','ON','3.0'
'San Montego Apts','AZ','2.5'
'Deer Valley Counseling - Phoenix','AZ','1.0'
'Buffalo Wild Wings','AZ','3.0'
'Fancy Nail Salon','PA','4.0'
'Sun Country Heating and Cooling','NV','4.5'
'Librairie Michel Fortin','QC','4.5'
1,000 rows selected (0.424 seconds)
